ID,Type,Zone,Latency,Category,Name,Short description,Extended description,Status,Tradition,Time horizon,Vocabulary,Sensitivity,Facilitator notes
LOC-001,Location,Near Earth,None perceptible,,LEO Platforms,Orbiting factories and labs.,Commercial platforms in low Earth orbit. Crews rotate every few weeks. Earth jurisdiction usually applies via the operator flag state.,Core,,Near-term,Mainstream,,
LOC-002,Location,Near Earth,None perceptible,,Orbital Hotels,"Space tourism, mostly transient.","Short-stay platforms hosting paying visitors. Multi-jurisdictional clientele, well-connected to Earth, but services expensive and supply chains thin.",Core,,Near-term,Novice-friendly,,
LOC-003,Location,Near Earth,None,,Earth Spaceports,Launch and customs hubs at the edge of everywhere.,Ground-based facilities with freeport status. Border-crossing logic dominates.,Core,,Near-term,Mainstream,,
LOC-004,Location,Near Earth,1.3 seconds each way,,Lunar Bases,First permanent off-Earth settlements.,Government and commercial habitats on the Moon. 1.3-second comms lag. Property rights unsettled.,Core,,Near-term,Novice-friendly,,
LOC-005,Location,Near Earth,1.3 seconds each way,,Lunar Mining Camps,Temporary work sites for resource extraction.,Crews on rotation. Migrant labor logic. Contracts run weeks to months.,Core,,Near-term,Mainstream,,
LOC-006,Location,Near Earth,1.3 seconds each way,,Lagrange Stations,Gravitational parking spots between Earth and Moon.,Fixed positions where gravity balances. Real-time comms but logistically isolated.,Core,,Mid-term,Mainstream,,Some audiences need the extended description.
LOC-007,Location,Near Earth,Up to 1.3 seconds,,Cislunar Cyclers,Ships looping between Earth and Moon on permanent orbits.,Crewed vessels swinging past Earth and Moon every two weeks.,Core,,Mid-term,Mainstream,,
LOC-008,Location,Solar System,3 to 22 minutes each way,,Mars Settlements,"Months from Earth, building local economy.",4-24 minute comms lag. Local rules emerge because Earth is too slow to enforce them.,Core,,Mid-term,Novice-friendly,,
LOC-009,Location,Solar System,9 to 36 minutes each way,,Asteroid Claims,Rights to mine a moving rock.,Ownership contested. May not return to convenient orbit for years.,Core,,Mid-term,Mainstream,,
LOC-010,Location,Solar System,13 to 33 minutes each way,,Ceres Station,Belt trading hub.,Largest object in the asteroid belt. Multiple operators co-located.,Core,,Mid-term,Mainstream,,
LOC-011,Location,Solar System,"33 to 54 minutes, plus blackouts",,Europa Outposts,"Under Jovian ice, hours of comms blackout.",Jupiter blocks comms on a predictable schedule. Radiation is high.,Core,,Long-term,Mainstream,,
LOC-012,Location,Solar System,"3 to 22 minutes, always changing",,Earth-Mars Cyclers,Permanent transit infrastructure between two worlds.,Vessels in continuous orbit. Crews live on board for years.,Core,,Mid-term,Mainstream,,
LOC-013,Location,Solar System,67 to 93 minutes each way,,Titan Refineries,Fuel processing in the outer system.,"Cold, slow and isolated, but rich in hydrocarbons for outbound vessels.",Variant,,Long-term,Mainstream,,
LOC-014,Location,Deep Space,"Years, and lengthening",,Generation Ships,"Journeys lasting decades; born on board, die on board.",Self-contained vessels. Multiple generations. Internal economy must be fully self-sustaining.,Core,,Long-term,Novice-friendly,,Highly speculative. Anchor to near-term cards if pushback.
LOC-015,Location,Deep Space,"Minutes at closest, then nothing",,Comet Claims,Objects passing through every few decades.,Long-period comets. Returns measured in human lifetimes.,Core,,Long-term,Mainstream,,
LOC-016,Location,Deep Space,Hours to days each way,,Probe Investments,Returns come after the investor is dead.,Robotic missions. Payoff returns decades later to whoever inherited the contract.,Core,,Long-term,Mainstream,,
LOC-017,Location,Deep Space,Days to over a year each way,,Oort Stations,"Years from anywhere, at the edge of the system.",Round-trip comms measured in years. Communities tiny and tightly bound.,Variant,,Long-term,Mainstream,,
LOC-018,Location,Deep Space,"Delay, plus clocks that diverge",,Relativistic Vessels,Ships moving fast enough that time dilates.,Contracts must address whose clock counts.,Variant,,Long-term,Expert,,Strong with physics-comfortable audiences only.
